Symbol,Date,Close,Volume
SBL,2022-08-08,317.0,"24,423.00"
SBL,2022-08-07,318.0,"38,474.00"
SBL,2022-08-05,320.0,"31,933.00"
SBL,2022-08-04,327.0,"61,343.00"
SBL,2022-08-03,338.1,"90,162.00"
SBL,2022-08-02,335.0,"34,819.00"
SBL,2022-08-01,335.5,"112,321.00"
SBL,2022-07-31,333.0,"59,013.00"
SBL,2022-07-29,315.0,"16,584.00"
SBL,2022-07-28,311.0,"59,580.00"
SBL,2022-07-27,313.0,"15,160.00"
SBL,2022-07-26,313.0,"44,062.00"
SBL,2022-07-25,321.0,"62,045.00"
SBL,2022-07-24,318.0,"50,944.00"
SBL,2022-07-22,315.0,"64,161.00"
SBL,2022-07-21,315.0,"45,220.00"
SBL,2022-07-20,315.4,"25,318.00"
SBL,2022-07-19,314.0,"50,452.00"
SBL,2022-07-18,315.0,"52,175.00"
SBL,2022-07-17,309.9,"45,999.00"
SBL,2022-07-15,303.0,"61,618.00"
SBL,2022-07-14,298.6,"44,218.00"
SBL,2022-07-13,294.0,"137,903.00"
SBL,2022-07-12,289.0,"63,851.00"
SBL,2022-07-11,291.0,"93,067.00"
SBL,2022-07-08,305.6,"26,338.00"
SBL,2022-07-07,311.0,"34,052.00"
SBL,2022-07-06,309.0,"35,158.00"
SBL,2022-07-05,306.0,"45,515.00"
SBL,2022-07-04,315.0,"94,323.00"
SBL,2022-07-03,316.0,"40,636.00"
SBL,2022-07-01,312.0,"43,304.00"
SBL,2022-06-30,321.9,"49,877.00"
SBL,2022-06-29,315.0,"19,455.00"
SBL,2022-06-28,313.0,"18,396.00"
SBL,2022-06-27,312.0,"35,290.00"
SBL,2022-06-26,320.0,"90,805.00"
SBL,2022-06-24,307.0,"83,733.00"
SBL,2022-06-23,310.0,"70,234.00"
SBL,2022-06-22,309.7,"36,827.00"
SBL,2022-06-21,323.3,"39,395.00"
SBL,2022-06-20,306.0,"45,892.00"
SBL,2022-06-19,310.0,"21,747.00"
SBL,2022-06-17,316.0,"31,244.00"
SBL,2022-06-16,318.0,"37,095.00"
SBL,2022-06-15,319.0,"29,081.00"
SBL,2022-06-14,328.0,"24,892.00"
SBL,2022-06-13,334.0,"20,729.00"
SBL,2022-06-10,336.0,"9,361.00"
SBL,2022-06-09,338.0,"26,454.00"
SBL,2022-06-08,338.0,"41,783.00"
